nestbox,tag,tag2,rfid,date,band_number,ringing_age,sex
Ha153,,,989001031452563,2020-06-14T00:00:00Z,GG35892,1,
Ha153,,,989001031452408,2020-06-14T00:00:00Z,GG35893,1,
Ha153,,,989001031452503,2020-06-14T00:00:00Z,GG35894,1,
Ha153,,,989001031452523,2020-06-14T00:00:00Z,GG35895,1,
Ha275,,,989001031452595,2020-06-14T00:00:00Z,GG35896,1,
Ha275,,,989001031452528,2020-06-14T00:00:00Z,GG35897,1,
Ha275,,,989001031452432,2020-06-14T00:00:00Z,GG35898,1,
Ha275,,,989001031452475,2020-06-14T00:00:00Z,GG35899,1,
Ha275,,,989001031452461,2020-06-14T00:00:00Z,GG35900,1,
Ha275,,,989001031452517,2020-06-14T00:00:00Z,GG35951,1,
Ha275,,,989001031452405,2020-06-14T00:00:00Z,GG35952,1,
Ha275,,,989001031452504,2020-06-14T00:00:00Z,GG35953,1,
Ha289,,,989001031452508,2020-06-16T00:00:00Z,GG35954,1,
Ha289,,,989001031452416,2020-06-16T00:00:00Z,GG35955,1,
Ha289,,,989001026344843,2020-06-16T00:00:00Z,GG35956,1,
Ha289,,,989001031452478,2020-06-16T00:00:00Z,GG35957,1,
Ha220,,,989001031452487,2020-06-16T00:00:00Z,GG35958,1,
Ha220,,,989001026344845,2020-06-16T00:00:00Z,GG35959,1,
Ha220,,,989001031452399,2020-06-16T00:00:00Z,GG35960,1,
Ha220,,,989001031452473,2020-06-16T00:00:00Z,GG35961,1,
Ha220,,,989001031452453,2020-06-16T00:00:00Z,GG35962,1,
Ha220,,,989001031452529,2020-06-16T00:00:00Z,GG35963,1,
Ha220,,,989001031452439,2020-06-16T00:00:00Z,GG35964,1,
Ha276,,,989001031452507,2020-06-16T00:00:00Z,GG35966,1,
Ha276,,,989001031452567,2020-06-16T00:00:00Z,GG35967,1,
Ha276,,,989001031452533,2020-06-16T00:00:00Z,GG35968,1,
Ha3,,,989001031452394,2020-06-17T00:00:00Z,GG35969,1,
Ha3,,,989001031452594,2020-06-17T00:00:00Z,GG35970,1,
Ha3,,,989001031452463,2020-06-17T00:00:00Z,GG35971,1,
Ha3,,,989001031452554,2020-06-17T00:00:00Z,GG35972,1,
Ha3,,,989001031452597,2020-06-17T00:00:00Z,GG35973,1,
Ha3,,,989001026344801,2020-06-17T00:00:00Z,GG35974,1,
Ha166,,,989001031452493,2020-06-17T00:00:00Z,GG35975,1,
Ha166,,,989001031452583,2020-06-17T00:00:00Z,GG35976,1,
Ha166,,,989001031452483,2020-06-17T00:00:00Z,GG35977,1,
Ha166,,,989001031452440,2020-06-17T00:00:00Z,GG35978,1,
Ha166,,,989001031452502,2020-06-17T00:00:00Z,GG35979,1,
Ha287,,,989001031452417,2020-06-17T00:00:00Z,GG35980,1,
Ha287,,,989001031452481,2020-06-17T00:00:00Z,GG35981,1,
Ha287,,,989001031452412,2020-06-17T00:00:00Z,GG35982,1,
Ha287,,,989001031452411,2020-06-17T00:00:00Z,GG35983,1,
Ha287,,,989001031452455,2020-06-17T00:00:00Z,GG35984,1,
Ha287,,,989001031452534,2020-06-17T00:00:00Z,GG35985,1,
Ha278,,,989001031452428,2020-06-17T00:00:00Z,GG35986,1,
Ha278,,,989001031452423,2020-06-17T00:00:00Z,GG35987,1,
Ha278,,,989001031452581,2020-06-17T00:00:00Z,GG35988,1,
Ha278,,,989001031452484,2020-06-17T00:00:00Z,GG35989,1,
Ha130,,,989001026346668,2020-06-21T00:00:00Z,GG35570,2019,F
Ha288,,,989001031452433,2020-06-21T00:00:00Z,GG35990,1,
Ha288,,,989001031452437,2020-06-21T00:00:00Z,GG35991,1,
Ha288,,,989001026344846,2020-06-21T00:00:00Z,GG35992,1,
Ha288,,,989001031452536,2020-06-21T00:00:00Z,GG35993,1,
Ha288,,,989001031452426,2020-06-21T00:00:00Z,GG35994,1,
Hn1,,,989001031452490,2020-06-21T00:00:00Z,GG35995,1,
Hn1,,,989001031452284,2020-06-21T00:00:00Z,GG35996,1,
Ha216,,,989001031452591,2020-06-21T00:00:00Z,GG35997,1,
Ha216,,,989001031452564,2020-06-21T00:00:00Z,GG35998,1,
Ha216,,,989001031452551,2020-06-21T00:00:00Z,GG35999,1,
Ha290,,,989001026344914,2020-06-23T00:00:00Z,GG38801,1,
Ha290,,,989001031452546,2020-06-23T00:00:00Z,GG38802,1,
Ha290,,,989001031452274,2020-06-23T00:00:00Z,GG38803,1,
Ha290,,,989001031452400,2020-06-23T00:00:00Z,GG38804,1,
Ha290,,,989001031452382,2020-06-23T00:00:00Z,GG38805,1,
Ha290,,,989001031452232,2020-06-23T00:00:00Z,GG38806,1,
Ha290,,,989001031452222,2020-06-23T00:00:00Z,GG38807,1,
Ha290,,,989001031452352,2020-06-23T00:00:00Z,GG38808,1,
Ha165,,,989001031452407,2020-06-23T00:00:00Z,GG38809,1,
Ha165,,,989001031452225,2020-06-23T00:00:00Z,GG38810,1,
Ha165,,,989001031452321,2020-06-23T00:00:00Z,GG38811,1,
Ha165,,,989001031452413,2020-06-23T00:00:00Z,GG38812,1,
Ha273,,,989001031452582,2020-06-23T00:00:00Z,GG38813,1,
Ha273,,,989001031452328,2020-06-23T00:00:00Z,GG38814,1,
Ha273,,,989001031452409,2020-06-23T00:00:00Z,GG38815,1,
Ha273,,,989001031452457,2020-06-23T00:00:00Z,GG38816,1,
Ha256,,,989001031452402,2020-06-28T00:00:00Z,GG38817,1,
Ha170,,,989001031452216,2020-06-28T00:00:00Z,GG38818,1,
Ha170,,,989001031452351,2020-06-28T00:00:00Z,GG38819,1,
Ha170,,,989001031452584,2020-06-28T00:00:00Z,GG38820,1,
Ha170,,,989001026344932,2020-06-28T00:00:00Z,GG38821,1,
Ha170,,,989001031452424,2020-06-28T00:00:00Z,GG38822,1,
Ha217,,,989001031452256,2020-07-08T00:00:00Z,GG38824,1,
Ha217,,,989001031452429,2020-07-08T00:00:00Z,GG38825,1,
Ha279,,,989001026344873,2020-07-14T00:00:00Z,GG38823,1,
Ha130,,,989001031452530,2020-08-04T00:00:00Z,GG38826,1,
Ha130,,,989001031452620,2020-08-04T00:00:00Z,GG38827,1,
,,,,,,,
,,,,,,,
,,,,,,,
Ha153,,,989001026346656,2021-04-26T00:00:00Z,GG35534,2019,F
Ha281,,,989001031452400,2021-04-21T00:00:00Z,GG38804,2020,F
Ha277,,,989001026346905,2021-04-21T00:00:00Z,GG31790,2019 adult,F
Ha276,,,989001031452318,2021-04-21T00:00:00Z,GG38829,2021 adult,M
Ha276,,,989001031452486,2021-04-21T00:00:00Z,GG34551,2020 adult,F
Ha287,,,989001031452479,2021-05-05T00:00:00Z,GG38834,2021 adult,F
Ha275,,,989001026346882,2021-04-21T00:00:00Z,GG31789,2019,F
Ha130,,,989001026346668,2021-04-25T00:00:00Z,GG35570,2019,F
Ha130,,,989001026344870,2021-04-25T00:00:00Z,GG35764,adult2020,M
Ha283,,,989001026346835,2021-05-05T00:00:00Z,GG31791,2019 adult,F
Ha222,,,989001031452543,2021-05-10T00:00:00Z,GG38838,2021 adult,M
Ha222,,,989001026346679,2021-05-10T00:00:00Z,GG35540,2019,F
Ha154,,,989001031452406,2021-04-26T00:00:00Z,GG38831,2021 adult,F
Ha223,,,989001026346850,2021-05-10T00:00:00Z,GG35439,2018,F
Ha254,,,989001026312952,2021-05-09T00:00:00Z,GG24120,2015,F
Ha148,,,989001031452596,2021-04-26T00:00:00Z,GG38830,2021 adult,F
Ha286,,,989001031452203,2021-05-05T00:00:00Z,GG38833,2021 adult,F
Ha214,,,989001026344829,2021-05-09T00:00:00Z,GG35788,2020,F
Ha220,,,989001026344937,2021-05-16T00:00:00Z,GG35759,adult2020,F
Ha166,,,989001031452280,2021-05-05T00:00:00Z,GG38835,2021 adult,F
Hn2,,,989001026346924,2021-05-23T00:00:00Z,GG31764,2018,F
Ha136,,,989001031452492,2021-04-29T00:00:00Z,GG35809,2020,F
Ha245,,,989001026346849,2021-04-29T00:00:00Z,GG31785,2019 adult,F
Ha219,,,989001031452354,2021-05-13T00:00:00Z,GG37345,2020,M
Ha219,,,989001031452689,2021-05-13T00:00:00Z,GG39405,2020,F
Ha243,,,989001031452420,2021-05-19T00:00:00Z,GG38505,2021 adult,F
Ha221,,,989001031452505,2021-05-13T00:00:00Z,GG38502,2021 adult,F
Ha137,,,989001026344789,2021-05-20T00:00:00Z,GG35765,adult2020,F
Ha157,,,989001026346832,2021-05-05T00:00:00Z,GG35535,2019,F
Ha151,,,989001031452291,2021-05-20T00:00:00Z,GG38523,2021 adult,F
Ha234,,,989001026344817,2021-05-20T00:00:00Z,GG35770,adult2020,F
Ha170,,,989001031452589,2021-05-06T00:00:00Z,GG38836,2021 adult,F
Ha212,,,989001026346880,2021-05-06T00:00:00Z,GG31779,2019 adult,F
Ha160,,,989001031452558,2021-05-20T00:00:00Z,GG38522,2021 adult,F
Ha249,,,989001026346820,2021-05-19T00:00:00Z,GG35527,2019,F
Ha230,,,989001031452520,2021-05-10T00:00:00Z,GG38837,2021 adult,F
Ha258,,,989001031452555,2021-05-23T00:00:00Z,GG38525,2021 adult,F
Ha247,,,989001026346867,2021-05-20T00:00:00Z,GG29918,2019,F
Ha251,,,989001026346834,2021-05-13T00:00:00Z,GG31838,2019,F
Ha128,,,989001031452679,2021-05-19T00:00:00Z,GG38504,2021 adult,F
Ha255,,,989001031452587,2021-05-13T00:00:00Z,GG38501,2021 adult,F
Ha213,,,989001031452619,2021-05-16T00:00:00Z,GG38503,2021 adult,F
Ha297,,,989001031452674,2021-05-23T00:00:00Z,GG38526,2021 adult,F
Ha290,,,989001031452436,2021-05-26T00:00:00Z,GG38528,2021 adult,F
Ha240,,,,2021-05-23T00:00:00Z,GG38524,2021 adult,F
Ha174,,,989001031452541,2021-05-23T00:00:00Z,GG38527,2021 adult,F
Ha162,,,989001031452663,2021-05-26T00:00:00Z,G16342,2019,F
Ha229,,,989001031452263,2021-05-26T00:00:00Z,GG38529,2021 adult,F
Ha250,,,989001026344922,2021-06-02T00:00:00Z,GG35757,2019,F
Ha289,,,989001031452294,2021-06-02T00:00:00Z,GG38561,2021 adult,F
Ha285,,,989001026344518,2021-06-14T00:00:00Z,GG38673,2021 adult,F
GAIA,,,,2021-01-07T00:00:00Z,GG38828,2021 adult,F?
Ha298,,,989001031452443,2021-05-04T00:00:00Z,GG38832,2021 adult,m?
Ha231,,,989001031452398,2021-05-15T00:00:00Z,GG38839,1,
Ha231,,,989001031452687,2021-05-15T00:00:00Z,GG38840,1,
Ha231,,,989001031452459,2021-05-15T00:00:00Z,GG38841,1,
Ha231,,,989001031452290,2021-05-15T00:00:00Z,GG38842,1,
