nestbox,tag,tag2,rfid,date,band_number,ringing_age,sex
Ha137,,,989001026344516,2021-06-13T00:00:00Z,GG38656,1,
Ha137,,,989001026344804,2021-06-13T00:00:00Z,GG38657,1,
Ha137,,,989001026344476,2021-06-13T00:00:00Z,GG38658,1,
Ha137,,,989001026344797,2021-06-13T00:00:00Z,GG38659,1,
Ha137,,,989001026344575,2021-06-13T00:00:00Z,GG38660,1,
Ha243,,,989001026344464,2021-06-13T00:00:00Z,GG38661,1,
Ha243,,,989001031452575,2021-06-13T00:00:00Z,GG38662,1,
Ha243,,,989001026344469,2021-06-13T00:00:00Z,GG38663,1,
Ha243,,,989001026344485,2021-06-13T00:00:00Z,GG38664,1,
Ha243,,,989001026344728,2021-06-13T00:00:00Z,GG38665,1,
Ha157,,,989001026344581,2021-06-13T00:00:00Z,GG38666,1,
Ha221,,,989001031452615,2021-06-13T00:00:00Z,GG38667,1,
Ha221,,,989001026344585,2021-06-13T00:00:00Z,GG38668,1,
Ha221,,,989001026344699,2021-06-13T00:00:00Z,GG38669,1,
Ha221,,,989001026344758,2021-06-13T00:00:00Z,GG38670,1,
Ha221,,,989001031452632,2021-06-13T00:00:00Z,GG38671,1,
Ha221,,,989001031452651,2021-06-13T00:00:00Z,GG38672,1,
Ha151,,,989001026344785,2021-06-14T00:00:00Z,GG38674,1,
Ha151,,,989001026344490,2021-06-14T00:00:00Z,GG38675,1,
Ha151,,,989001031452627,2021-06-14T00:00:00Z,GG38676,1,
Ha151,,,989001026344586,2021-06-14T00:00:00Z,GG38677,1,
Ha151,,,989001031452695,2021-06-14T00:00:00Z,GG38678,1,
Ha151,,,989001026344528,2021-06-14T00:00:00Z,GG38679,1,
Ha151,,,989001031452556,2021-06-14T00:00:00Z,GG38680,1,
